track_name,artist,release_date,popularity,track_id,preview_url,album,danceability,energy,valence,tempo,liveness,loudness,speechiness,acousticness,instrumentalness
Come Undone,Duran Duran,1993-02-15,68,0yfNXxlyXdmP0ue1iJijx1,https://p.scdn.co/mp3-preview/0d2feb79ee2feb74cb790024554144674d0cc7a7?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Duran Duran,0.542,0.793,0.709,173.928,0.0814,-8.203,0.0528,0.0423,3.9e-06
The Power of Love,Céline Dion,1993-11-09,71,5kK1Iru9ogP3Iy1zsANU1n,https://p.scdn.co/mp3-preview/7d88cb368e189a99716a48392e213035d4e0486a?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,The Colour Of My Love,0.546,0.519,0.247,140.054,0.24,-9.072,0.0291,0.36,0.00046
Hasta Que Me Olvides,Luis Miguel,,75,6vPAmoERUMRoTZaCCSWQ12,https://p.scdn.co/mp3-preview/ee82a28850c55c9d1c276e19014fbb7cb1c89123?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Aries,0.641,0.593,0.437,119.828,0.169,-7.884,0.0264,0.46,0.0
Alison,Slowdive,,61,33HRECrmuelZxOpid6XTNX,https://p.scdn.co/mp3-preview/4ae39b2954d3485b077e88071f27ae3cd672be32?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Souvlaki,0.276,0.449,0.278,101.687,0.108,-11.428,0.0375,0.00782,0.783
Hero,Mariah Carey,1993-08-31,68,5mgCMlxQW7fmHbrdJuowbB,https://p.scdn.co/mp3-preview/f40d552f45eea5ec65a49d096c0c65690f8ca97a?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Music Box,0.533,0.272,0.133,120.02,0.111,-12.9,0.031,0.667,0.0
Dagger,Slowdive,,59,3MmRfG64qt04Efx9gK9Ec8,https://p.scdn.co/mp3-preview/baa6bcafa384903e01956cd14cae8adc0e6dfc29?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Souvlaki,0.506,0.212,0.265,146.355,0.117,-21.046,0.0325,0.625,0.918
P.U.N.K. Girl,Heavenly,1993-01-01,58,4IiXEeH2j5FAVfCncumgXw,https://p.scdn.co/mp3-preview/2a630abb716afd3aa77e7c04177b62713852b3ff?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Atta Girl,0.351,0.673,0.76,185.778,0.251,-11.863,0.111,0.0317,0.000199
Without You,Mariah Carey,1993-08-31,69,0pkIJFV6mviH9dmBYsFwTM,https://p.scdn.co/mp3-preview/2c8c96b5e7e48bc8fd76a14eafd71de463b3116d?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Music Box,0.603,0.407,0.166,121.96,0.0529,-11.667,0.0314,0.378,1.15e-06
40 Days,Slowdive,,58,4qyJE4D584f7qJCRSy7HOE,https://p.scdn.co/mp3-preview/f49b149f6e7dbd5ed0c942c1766a630da12f5617?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Souvlaki,0.172,0.745,0.491,184.934,0.235,-10.562,0.0374,0.0987,0.0073
Murder Was The Case,Snoop Dogg,1993-11-23,57,1z9EbieFSoVLz7A3Q2DCiu,https://p.scdn.co/mp3-preview/1c806bf558783142e4faa3b9815a86cea0d71223?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Doggystyle,0.464,0.687,0.458,91.064,0.32,-7.623,0.0858,0.00643,2.47e-06
Venus as a Boy,Björk,1993-07-05,52,5G9LvzXcBoIBXOd2jzdJTs,https://p.scdn.co/mp3-preview/7af60e63c9117727bc11d6be83a2eba6224c495c?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Debut,0.617,0.393,0.84,136.213,0.067,-11.767,0.0353,0.0314,0.00512
Dreamlover,Mariah Carey,1993-08-31,58,5m9aremBVDMMMAP1tfFCbx,https://p.scdn.co/mp3-preview/3fdd650102fb4323b51f4547ae7a43e3e9ce7d4f?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Music Box,0.717,0.524,0.76,100.595,0.181,-11.265,0.0341,0.181,0.0
Just Kickin' It,Xscape,1993-10-12,53,2CG9mGkKC6IQE5lEjDioEi,https://p.scdn.co/mp3-preview/ec5c273761aa7ba7b6a431f4db445d2bd38f0981?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Hummin' Comin' At 'Cha,0.692,0.353,0.73,80.902,0.579,-12.872,0.0613,0.0571,2.26e-05
She Don't Use Jelly,The Flaming Lips,1993-06-18,53,1dJuteDIOkGfDSN7zPkzNv,https://p.scdn.co/mp3-preview/04495c250a29c112076cdab9e347830769578fb0?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Transmissions From the Satellite Heart,0.33,0.556,0.506,173.828,0.315,-11.494,0.0796,0.207,4.39e-05
Doo Wa Ditty (Blow That Thing),Zapp,1993-09-28,51,2mx0O7IniovyDS8Wi0B3Sq,https://p.scdn.co/mp3-preview/babbc3e816d9483e528fc46b9552dab088cc5abf?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,All the Greatest Hits,0.827,0.676,0.92,113.606,0.426,-11.159,0.0628,0.472,0.049
Si tú no vuelves,Miguel Bosé,,69,1YFBO31kSEYo1DVkjSj8LG,https://p.scdn.co/mp3-preview/45a28b994550b3aea5f5d99452cfd23a7e9419e6?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Bajo El Signo De Caín,0.74,0.509,0.133,121.971,0.117,-6.971,0.0332,0.355,0.0963
Breathe Again,Toni Braxton,1993-07-13,60,1xFliXOpcu7E89AsDAZ7JV,https://p.scdn.co/mp3-preview/79db74fe998fc9953c089b2dc8d8aa401462b8ea?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Toni Braxton,0.689,0.677,0.259,153.922,0.0877,-6.36,0.0326,0.0697,0.0
Qué Hay de Malo,Jerry Rivera,1993-10-19,64,7t5cskTjWtXVQ6h1yI69op,https://p.scdn.co/mp3-preview/73717bdea32ff6d43d779ff90fa20033dcc9f42c?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Cara De Niño,0.735,0.61,0.789,91.951,0.0541,-8.635,0.0439,0.598,0.0
Suave,Luis Miguel,,68,4p7XH4NhQ25iGYrrbg93gt,https://p.scdn.co/mp3-preview/da5013fdcf9b596cc9a9ce9e0a5f58a174863b0c?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Aries,0.61,0.677,0.444,103.946,0.232,-9.813,0.0325,0.0614,0.0
Tha Shiznit,Snoop Dogg,1993-11-23,55,2DhL7DtMmxmqrCUB2NAlLm,https://p.scdn.co/mp3-preview/67325701c560971235f38c389e8f0f1af8cd1d79?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Doggystyle,0.802,0.534,0.722,96.789,0.182,-7.409,0.0532,0.00665,6.97e-06
Self Esteem,The Offspring,1994-04-08,76,1FkoVC85Ds3mFoK0fVqEqP,https://p.scdn.co/mp3-preview/29a0dd6febfac9310051074de46eefbb7a6f5cbd?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Smash,0.488,0.862,0.706,104.56,0.359,-7.595,0.0476,0.0204,0.0
Smooth Operator - Single Version,Sade,1994-10-31,79,1Hv1VTm8zeOeybub15mA2R,https://p.scdn.co/mp3-preview/43f389ca63d0814eb6e316b42f13011d802373ff?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,The Best of Sade,0.734,0.58,0.962,119.336,0.0298,-6.619,0.0321,0.238,0.0006
Waterfalls,TLC,1994-11-15,74,6qspW4YKycviDFjHBOaqUY,https://p.scdn.co/mp3-preview/7fae23d7bb19a77d6c5552f385cc6f80534dfae7?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Crazysexycool,0.769,0.505,0.757,171.804,0.0777,-7.345,0.0829,0.311,7.49e-05
Only Wanna Be With You,Hootie & The Blowfish,1994-07-01,70,1OFKUn2VLafrHj7ybnap0Q,https://p.scdn.co/mp3-preview/1914feba3e47c85f20858ea8438190be7b405b91?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Cracked Rear View,0.49,0.873,0.513,103.272,0.118,-5.861,0.0355,0.107,5.19e-06
Come Out and Play,The Offspring,1994-04-08,71,5JJDu0Z5DKe7mR31MGksSg,https://p.scdn.co/mp3-preview/03dbbaa0e6d23eb0009d40f5896f67873132ff0f?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Smash,0.519,0.77,0.921,158.29,0.0762,-8.788,0.0809,0.0675,3.48e-06
All I Want for Christmas Is You,Mariah Carey,1994-10-28,73,0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Merry Christmas,0.336,0.627,0.35,150.273,0.0708,-7.463,0.0384,0.164,0.0
Kiss from a Rose,Seal,1994-05-31,72,3YKptz29AsOlm7WAVnztBh,https://p.scdn.co/mp3-preview/7902464c33351dafb17949c3f699bf035ba57d22?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Seal,0.584,0.533,0.224,131.745,0.306,-7.11,0.0305,0.684,0.0
Creep,TLC,1994-11-15,65,1aWV3uY3SIEZVbmv45oFWS,https://p.scdn.co/mp3-preview/bb2d99ffae852b119fe4c0141e86dfdcb6ac4198?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Crazysexycool,0.811,0.458,0.797,92.94,0.0526,-9.688,0.0402,0.0193,1.41e-06
Let Her Cry,Hootie & The Blowfish,1994-07-01,63,6NGi23FFKq9tH5NR1NcTw2,https://p.scdn.co/mp3-preview/37f8eeafeb0c900febb1e19ecaaabce2b329e387?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Cracked Rear View,0.352,0.698,0.256,142.57,0.113,-6.278,0.0303,0.0353,0.0
La Media Vuelta,Luis Miguel,1994-08-30,76,1lKI9y1DL6QnYTZguVmACX,https://p.scdn.co/mp3-preview/09a0eda78cb325c540f88aca1ff86d499c10b264?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Segundo Romance,0.631,0.683,0.708,97.959,0.0994,-8.788,0.0344,0.291,0.0
Hold My Hand,Hootie & The Blowfish,1994-07-01,61,4WnYuVFXe6Si4fZqkxbnvS,https://p.scdn.co/mp3-preview/47458a9ca8d511ffaef159d18e286b1ac9e3a0b2?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Cracked Rear View,0.22,0.769,0.495,170.773,0.0985,-5.125,0.054,0.208,0.0
At Your Best (You Are Love),Aaliyah,1994-05-22,63,4lRrk574qIHpoEEKC1zuam,https://p.scdn.co/mp3-preview/d52722b5875a9528abb025d5bbcd9480f0e2d8dd?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Age Ain't Nothing But A Number,0.626,0.441,0.563,78.094,0.0685,-10.637,0.0308,0.761,0.0138
Stay (I Missed You),Lisa Loeb,1994-05-17,61,00U1MDChdOTxWwtKoOoBXE,https://p.scdn.co/mp3-preview/7b52e2999f6ce0bc227cbb7ea7d60216fc2e081c?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Stay (I Missed You),0.612,0.591,0.349,160.659,0.111,-7.02,0.051,0.462,0.0
I Wanna Be Down,Brandy,,62,6N9uyMZf9pbNOuomveWscp,https://p.scdn.co/mp3-preview/c1d733f339a65b332def005587c18a2ee1bea7c5?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Brandy,0.703,0.469,0.661,86.038,0.726,-6.515,0.0415,0.177,0.0
Paradise,Sade,1994-10-31,67,4tReFKumS5bcFahdXDiM1b,https://p.scdn.co/mp3-preview/4f09986e3769a624078bed77d5c35a4960d90d3a?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,The Best of Sade,0.738,0.792,0.968,99.817,0.0679,-7.873,0.0378,0.309,0.39
Age Ain't Nothing But a Number,Aaliyah,1994-05-22,63,2hMk3VNicbCoV8I81m7Z3q,https://p.scdn.co/mp3-preview/093556644d5fbe9111ca52222fdfc6ce7f06a85c?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Age Ain't Nothing But A Number,0.589,0.532,0.434,84.012,0.323,-8.572,0.0271,0.155,0.0903
I'll Stand by You,Pretenders,1994-06-01,70,3Nf8oGn1okobzjDcFCvT6n,https://p.scdn.co/mp3-preview/17b0d153b1bacadb1f96bf74a99da63b6c1d40a2?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Last of the Independents,0.438,0.606,0.266,133.822,0.0754,-6.549,0.0305,0.3,4.49e-06
Back & Forth,Aaliyah,1994-05-22,59,45wneA2j0Z0WMnYNDO6Ad0,https://p.scdn.co/mp3-preview/50318c371f37a3fbe741c33aa5af116f6be33b16?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Age Ain't Nothing But A Number,0.706,0.727,0.903,92.938,0.115,-8.06,0.0317,0.0698,5.31e-06
Time,Hootie & The Blowfish,1994-07-01,56,1N0UflnZhn7xOkrN2l8zxx,https://p.scdn.co/mp3-preview/1723330ad832ecbede8535f513c0d3dc361b02d7?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Cracked Rear View,0.387,0.875,0.238,105.1,0.152,-5.741,0.0385,0.0373,0.0
Ants Marching,Dave Matthews Band,1994-09-27,55,2FfZg072w8RoxlMOR7M4CT,https://p.scdn.co/mp3-preview/354c3e0b76721d7f2ea2d04a261069045e285042?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Under the Table and Dreaming (Expanded Edition),0.637,0.856,0.846,113.32,0.0157,-4.34,0.034,0.0187,1.99e-05
Hang on to Your Love,Sade,1994-10-31,64,6KIS5YIZAyeiFNx1aE1OhY,https://p.scdn.co/mp3-preview/4d78a2cb51f07e2eb478cfe58c0641fc93a04ffd?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,The Best of Sade,0.846,0.703,0.964,107.767,0.071,-5.76,0.0301,0.147,1.21e-05
Tú Lo Decidiste,Ana Gabriel,1994-08-20,64,1uDXGhm8Wgwpmzgm8k1F7r,https://p.scdn.co/mp3-preview/e48f794a418e5a2eac5ad99decb4ef5775869cb0?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Ayer Y Hoy,0.644,0.234,0.397,92.248,0.126,-10.073,0.0352,0.474,0.0
Gotta Get Away,The Offspring,1994-04-08,59,0vQPY1VCcvZa2Mm6QM63Le,https://p.scdn.co/mp3-preview/6bdd04d86ef4cde0dbded3a16a728acb27dc12d2?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Smash,0.568,0.826,0.796,132.782,0.0789,-7.634,0.0402,0.00082,8.56e-06
La Gota Fria,Carlos Vives,1994-02-22,64,4tXR895KKljrC2VptgyEhJ,https://p.scdn.co/mp3-preview/3e5b33b818213ba65706d52a65fc40f36531fedd?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Clasicos de la Provincia,0.718,0.809,0.964,100.848,0.183,-10.201,0.0511,0.0893,0.0
The Lion Sleeps Tonight (Wimoweh),The Tokens,1994-08-29,59,2F4FNcz68howQWD4zaGJSi,https://p.scdn.co/mp3-preview/1d782ec93072f5ed7b6ada0e13a41af3dd3d356a?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Wimoweh!!! - The Best Of The Tokens,0.321,0.474,0.804,121.199,0.204,-9.383,0.0348,0.743,0.0
Fantasy,Mariah Carey,1995-10-03,74,6xkryXuiZU360Lngd4sx13,https://p.scdn.co/mp3-preview/1c23e1ae9b28c452b4d6f2ed4eea9f532dc13f0f?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Daydream,0.669,0.727,0.807,102.322,0.123,-7.588,0.0353,0.139,0.0
Lump,The Presidents Of The United States Of America,1995-01-01,69,02ZdZqhpfrPnxwyakXgxB8,https://p.scdn.co/mp3-preview/d7784790327227c50699e2f6efc33414569d37d3?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,0.507,0.882,0.907,142.398,0.177,-3.917,0.0337,0.0053,0.0
Always Be My Baby,Mariah Carey,1995-10-03,72,2aBxt229cbLDOvtL7Xbb9x,https://p.scdn.co/mp3-preview/c0aa36744d3c682c8fa9e14a0b7128b5afaf5d60?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Daydream,0.65,0.531,0.487,78.946,0.249,-8.335,0.0364,0.457,0.0
